method,accuracy,precision,recall,f1,auc,threshold,fp,fn,tp,tn
p2_dsvdd,0.8562814070351759,0.68561872909699,0.8070866141732284,0.7414104882459313,0.9005865663553189,-2.5296132759656746,94,49,205,647
p3a_dsvdd,0.8391959798994975,0.6477987421383647,0.8110236220472441,0.7202797202797203,0.8497933203693667,-0.03452210186961224,112,48,206,629
p3b_bce,0.8854271356783919,0.8153153153153153,0.7125984251968503,0.7605042016806722,0.8974013622791079,0.7166668366757828,41,73,181,700
api_ngram_svm,0.9105527638190954,0.8313253012048193,0.8149606299212598,0.8230616302186878,0.9558932916786211,0.5069861948188265,42,47,207,699
