table_name,dataset,method,seed_or_summary,metric,value,artifact_path,metrics_file,manifest_config,status,reason
tab:rq1-quo,Quo Vadis,API-frequency LR,sample std seeds 7/17/27,accuracy_std,0.0000,datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_7/metrics.json,datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_7/metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,confirmatory,sample standard deviation (n-1)
tab:rq1-quo,Quo Vadis,API-frequency LR,mean seeds 7/17/27,precision,0.8856,datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_7/metrics.json,datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_7/metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,confirmatory,group/exact-sequence-disjoint; complete three-seed metrics
tab:rq1-quo,Quo Vadis,API-frequency LR,sample std seeds 7/17/27,precision_std,0.0000,datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_7/metrics.json,datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_7/metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,confirmatory,sample standard deviation (n-1)
tab:rq1-quo,Quo Vadis,API-frequency LR,mean seeds 7/17/27,recall,0.7008,datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_7/metrics.json,datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_7/metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,confirmatory,group/exact-sequence-disjoint; complete three-seed metrics
tab:rq1-quo,Quo Vadis,API-frequency LR,sample std seeds 7/17/27,recall_std,0.0000,datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_7/metrics.json,datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_7/metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,confirmatory,sample standard deviation (n-1)
tab:rq1-quo,Quo Vadis,API-frequency LR,mean seeds 7/17/27,f1,0.7824,datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_7/metrics.json,datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_7/metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,confirmatory,group/exact-sequence-disjoint; complete three-seed metrics
tab:rq1-quo,Quo Vadis,API-frequency LR,sample std seeds 7/17/27,f1_std,0.0000,datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_7/metrics.json,datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_7/metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,confirmatory,sample standard deviation (n-1)
tab:rq1-quo,Quo Vadis,API-frequency LR,mean seeds 7/17/27,auc,0.9066,datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_7/metrics.json,datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_7/metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,confirmatory,group/exact-sequence-disjoint; complete three-seed metrics
tab:rq1-quo,Quo Vadis,API-frequency LR,sample std seeds 7/17/27,auc_std,0.0000,datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_7/metrics.json,datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_7/metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,confirmatory,sample standard deviation (n-1)
tab:rq1-quo,Quo Vadis,API-frequency RF,mean seeds 7/17/27,accuracy,0.9112,datasets_50k/quo_vadis/results/standard_baselines/api_frequency_rf/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_rf/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_rf/seed_7/metrics.json,datasets_50k/quo_vadis/results/standard_baselines/api_frequency_rf/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_rf/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_rf/seed_7/metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,confirmatory,group/exact-sequence-disjoint; complete three-seed metrics
tab:rq1-quo,Quo Vadis,API-frequency RF,sample std seeds 7/17/27,accuracy_std,0.0029,datasets_50k/quo_vadis/results/standard_baselines/api_frequency_rf/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_rf/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_rf/seed_7/metrics.json,datasets_50k/quo_vadis/results/standard_baselines/api_frequency_rf/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_rf/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_rf/seed_7/metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,confirmatory,sample standard deviation (n-1)
tab:rq1-quo,Quo Vadis,API-frequency RF,mean seeds 7/17/27,precision,0.8457,datasets_50k/quo_vadis/results/standard_baselines/api_frequency_rf/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_rf/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_rf/seed_7/metrics.json,datasets_50k/quo_vadis/results/standard_baselines/api_frequency_rf/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_rf/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_rf/seed_7/metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,confirmatory,group/exact-sequence-disjoint; complete three-seed metrics
