section,dataset,method,status,seeds,f1,auc,artifact_path,review_reason,paper_use
RQ1,Quo Vadis,APILI adapted,suspicious/review,7,0.9388,0.9869,datasets_50k/quo_vadis/results/apili_adapted_metrics.json,high score comes from preliminary binary-stratified split and/or incomplete threshold provenance,exclude from confirmatory claims
RQ1,Quo Vadis,DeepCapa adapted,suspicious/review,7,0.9648,0.9953,datasets_50k/quo_vadis/results/deepcapa_adapted_metrics.json,high score comes from preliminary binary-stratified split and/or incomplete threshold provenance,exclude from confirmatory claims
RQ1,Quo Vadis,GPT4-API-BERT-CNN,suspicious/review,7,0.9544,0.9926,datasets_50k/quo_vadis/results/gpt4_api_bert_cnn_metrics.json,high score comes from preliminary binary-stratified split and/or incomplete threshold provenance,exclude from confirmatory claims
RQ1,Quo Vadis,MME TextCNN fallback,suspicious/review,7,0.9389,0.9890,datasets_50k/quo_vadis/results/mme_metrics.json,high score comes from preliminary binary-stratified split and/or incomplete threshold provenance,exclude from confirmatory claims
RQ1,Quo Vadis,Semantic TF-IDF/SGD prototype,suspicious/review,7,0.9618,0.9947,datasets_50k/quo_vadis/results/ours_metrics.json,high score comes from preliminary binary-stratified split and/or incomplete threshold provenance,exclude from confirmatory claims
RQ1,Zenodo 11079764,APILI adapted,suspicious/review,7,0.9368,0.9806,datasets_50k/zenodo_11079764/results/apili_adapted_metrics.json,high score comes from preliminary binary-stratified split and/or incomplete threshold provenance,exclude from confirmatory claims
RQ1,Zenodo 11079764,DeepCapa adapted,suspicious/review,7,0.9452,0.9863,datasets_50k/zenodo_11079764/results/deepcapa_adapted_metrics.json,high score comes from preliminary binary-stratified split and/or incomplete threshold provenance,exclude from confirmatory claims
RQ1,Zenodo 11079764,Semantic TF-IDF/SGD prototype,suspicious/review,7,0.9516,0.9874,datasets_50k/zenodo_11079764/results/ours_metrics.json,high score comes from preliminary binary-stratified split and/or incomplete threshold provenance,exclude from confirmatory claims
