Dataset,Perturbation,Intensity,Accuracy,Precision,Recall,F1,AUC,Delta_F1,Delta_AUC,Prediction_count,Artifact_path
quo_vadis,insertion,0.1,0.8366666666666667,0.9572618616443318,0.7048,0.8118568576255567,0.9279563022222224,-0.1507431423744433,-0.06554369777777769,7500,datasets_50k/quo_vadis/results/rq4_robustness/full/seed_7/insertion/intensity_10
quo_vadis,insertion,0.2,0.774,0.949671772428884,0.5786666666666667,0.7191383595691798,0.8843192177777779,-0.2434616404308202,-0.10918078222222216,7500,datasets_50k/quo_vadis/results/rq4_robustness/full/seed_7/insertion/intensity_20
quo_vadis,insertion,0.3,0.7328,0.930898321816387,0.5029333333333333,0.6530470914127424,0.8429014399999999,-0.3095529085872576,-0.15059856000000016,7500,datasets_50k/quo_vadis/results/rq4_robustness/full/seed_7/insertion/intensity_30
quo_vadis,deletion,0.1,0.9045333333333333,0.9653374233128834,0.8392,0.8978601997146933,0.9723737955555555,-0.06473980028530668,-0.021126204444444574,7500,datasets_50k/quo_vadis/results/rq4_robustness/full/seed_7/deletion/intensity_10
quo_vadis,deletion,0.2,0.8733333333333333,0.9569190600522193,0.7818666666666667,0.8605811564426181,0.956375111111111,-0.10201884355738189,-0.037124888888889096,7500,datasets_50k/quo_vadis/results/rq4_robustness/full/seed_7/deletion/intensity_20
quo_vadis,deletion,0.3,0.8429333333333333,0.9487090020935102,0.7250666666666666,0.8219467956469165,0.9396576711111111,-0.14065320435308348,-0.05384232888888896,7500,datasets_50k/quo_vadis/results/rq4_robustness/full/seed_7/deletion/intensity_30
quo_vadis,local_reordering,0.1,0.9588,0.9743589743589743,0.9424,0.9581130540870273,0.9922530488888889,-0.004486945912972717,-0.001246951111111172,7500,datasets_50k/quo_vadis/results/rq4_robustness/full/seed_7/local_reordering/intensity_10
quo_vadis,local_reordering,0.2,0.9512,0.9731543624161074,0.928,0.95004095004095,0.9905463466666666,-0.012559049959049995,-0.002953653333333417,7500,datasets_50k/quo_vadis/results/rq4_robustness/full/seed_7/local_reordering/intensity_20
quo_vadis,local_reordering,0.3,0.9449333333333333,0.972529028603795,0.9157333333333333,0.9432770223870347,0.9889579377777777,-0.01932297761296531,-0.0045420622222223095,7500,datasets_50k/quo_vadis/results/rq4_robustness/full/seed_7/local_reordering/intensity_30
