Dataset,Perturbation,Intensity,Accuracy,Precision,Recall,F1,AUC,Delta_F1,Delta_AUC,Prediction_count,Artifact_path
zenodo_11079764,insertion,0.1,0.8409333333333333,0.8222838416939753,0.8698666666666667,0.8454062459504988,0.8992601955555555,-0.09549375404950111,-0.0798398044444445,7500,datasets_50k/zenodo_11079764/results/rq4_robustness/full/seed_7/insertion/intensity_10
zenodo_11079764,insertion,0.2,0.7670666666666667,0.7483263079593355,0.8048,0.7755364255428498,0.8276339911111111,-0.1653635744571501,-0.15146600888888884,7500,datasets_50k/zenodo_11079764/results/rq4_robustness/full/seed_7/insertion/intensity_20
zenodo_11079764,insertion,0.3,0.7166666666666667,0.7074291549655348,0.7389333333333333,0.7228381374722838,0.763523591111111,-0.2180618625277162,-0.21557640888888896,7500,datasets_50k/zenodo_11079764/results/rq4_robustness/full/seed_7/insertion/intensity_30
zenodo_11079764,deletion,0.1,0.9066666666666666,0.8979645093945721,0.9176,0.9076760749142706,0.9536167822222221,-0.033223925085729356,-0.025483217777777845,7500,datasets_50k/zenodo_11079764/results/rq4_robustness/full/seed_7/deletion/intensity_10
zenodo_11079764,deletion,0.2,0.8753333333333333,0.860066513174725,0.8965333333333333,0.8779213996605301,0.9348532266666667,-0.06297860033946989,-0.04424677333333327,7500,datasets_50k/zenodo_11079764/results/rq4_robustness/full/seed_7/deletion/intensity_20
zenodo_11079764,deletion,0.3,0.8437333333333333,0.8228957915831663,0.876,0.8486179281839318,0.9070902755555557,-0.09228207181606818,-0.07200972444444431,7500,datasets_50k/zenodo_11079764/results/rq4_robustness/full/seed_7/deletion/intensity_30
zenodo_11079764,local_reordering,0.1,0.9329333333333333,0.9264512739690045,0.9405333333333333,0.9334391954479291,0.9758246755555555,-0.0074608045520708766,-0.0032753244444444496,7500,datasets_50k/zenodo_11079764/results/rq4_robustness/full/seed_7/local_reordering/intensity_10
zenodo_11079764,local_reordering,0.2,0.9248,0.9146277980218636,0.9370666666666667,0.9257112750263435,0.9690457955555556,-0.01518872497365642,-0.010054204444444381,7500,datasets_50k/zenodo_11079764/results/rq4_robustness/full/seed_7/local_reordering/intensity_20
zenodo_11079764,local_reordering,0.3,0.9158666666666667,0.9037017861765467,0.9309333333333333,0.9171154603966899,0.9636406044444445,-0.023784539603310062,-0.015459395555555422,7500,datasets_50k/zenodo_11079764/results/rq4_robustness/full/seed_7/local_reordering/intensity_30
