Dataset,Variant,Accuracy,Precision,Recall,F1,AUC,Delta_F1,Delta_AUC,Best_epoch,Val_F1,Prediction_count,Artifact_path
Zenodo 11079764 50k balanced,Full,0.9405,0.9345,0.9475,0.9409,0.9791,0.0,0.0,28,0.948173546089938,7500,datasets_50k/zenodo_11079764/results/rq1_repaired_balanced/full/seed_7
Zenodo 11079764 50k balanced,wo_semantic_elements,0.9284,0.9224296607941099,0.9354666666666667,0.9289024228783265,0.9768591644444444,-0.011997577121673486,-0.002240835555555542,14,0.9382422802850356,7500,datasets_50k/zenodo_11079764/results/rq3_balanced_ablation/wo_semantic_elements/seed_7
Zenodo 11079764 50k balanced,wo_graph_view,0.9277333333333333,0.9234424498416051,0.9328,0.9280976386309366,0.9756141511111113,-0.012802361369063431,-0.003485848888888698,30,0.9332271339439798,7500,datasets_50k/zenodo_11079764/results/rq3_balanced_ablation/wo_graph_view/seed_7
Zenodo 11079764 50k balanced,wo_interleaving_prior_in_gating,0.9417333333333333,0.9353482260183968,0.9490666666666666,0.942157511581734,0.9797083022222224,0.001257511581734039,0.0006083022222224121,26,0.9490630773291105,7500,datasets_50k/zenodo_11079764/results/rq3_balanced_ablation/wo_interleaving_prior_in_gating/seed_7
