Variant,Accuracy,Precision,Recall,F1,AUC,Delta_F1,Delta_AUC,Best_epoch,Val_F1,Artifact_path
Full,0.9631,0.9743,0.9512,0.9626,0.9935,0.0000,0.0000,27,0.961378011034854,datasets_50k/quo_vadis/results/rq1_repaired_balanced/full/seed_7
w/o semantic elements,0.9632,0.9614771519659936,0.9650666666666666,0.96326856534469,0.9937823288888888,0.0006685653446899538,0.00028232888888879426,30,0.9616863316982633,datasets_50k/quo_vadis/results/rq3_balanced_ablation/wo_semantic_elements/seed_7
w/o graph view,0.96,0.9595098561534363,0.9605333333333334,0.9600213219616205,0.9929428977777777,-0.0025786780383795234,-0.0005571022222222726,29,0.9599363226319979,datasets_50k/quo_vadis/results/rq3_balanced_ablation/wo_graph_view/seed_7
w/o interleaving prior,0.9605333333333334,0.9834826427771557,0.9368,0.9595738869161431,0.9924435199999999,-0.003026113083856918,-0.0010564800000001373,11,0.9580724203648244,datasets_50k/quo_vadis/results/rq3_balanced_ablation/wo_interleaving_prior_in_gating/seed_7
