dataset,method,test_samples,test_accuracy,macro_precision,macro_recall,macro_f1,macro_auc_ovr
quo_vadis,gpt4_api_bert_cnn,7500,0.882533,0.824418,0.781054,0.798181,0.984914
quo_vadis,deepcapa_adapted,3750,0.877333,0.842281,0.856734,0.843954,0.988175
quo_vadis,apili_adapted,3750,0.810400,0.760229,0.727244,0.711604,0.976751
quo_vadis,mme_textcnn_fallback,3750,0.845867,0.823532,0.791325,0.796826,0.982794
zenodo_11079764,gpt4_api_bert_cnn,7500,0.735467,0.181697,0.116294,0.118156,0.918247
zenodo_11079764,deepcapa_adapted,3750,0.717333,0.367131,0.306829,0.311287,0.968179
zenodo_11079764,apili_adapted,3750,0.641867,0.263609,0.232345,0.224869,0.935733
zenodo_11079764,mme_textcnn_fallback,3750,0.666933,0.334779,0.253304,0.257083,0.947587
